custAge,profession,marital,responded
55,admin.,single,no
,blue-collar,married,no
42,technician,married,no
55,management,divorced,no
,admin.,divorced,no
47,blue-collar,married,no
35,services,single,yes
,services,married,no
28,unemployed,married,no
46,blue-collar,married,no
,admin.,married,no
41,blue-collar,married,no
35,admin.,single,no
49,blue-collar,married,no
,housemaid,married,no
40,services,married,no
32,unknown,single,yes
46,blue-collar,married,no
,technician,single,no
34,services,single,no
38,admin.,married,no
32,admin.,married,yes
31,admin.,married,no
26,admin.,married,no
28,blue-collar,single,no
30,self-employed,married,no
,admin.,married,no
,management,married,no
47,technician,married,no
37,blue-collar,single,no
33,admin.,married,no
26,blue-collar,single,no
32,admin.,single,no
,technician,divorced,no
54,retired,divorced,no
,blue-collar,married,no
,management,married,no
22,student,single,yes
43,technician,married,no
35,admin.,married,no
27,admin.,married,no
30,blue-collar,married,no
,services,married,no
35,blue-collar,married,no
37,self-employed,single,no
27,blue-collar,married,no
43,management,single,no
31,blue-collar,married,yes
,management,married,no
28,entrepreneur,married,no
57,retired,married,no
38,management,married,yes
,technician,married,no
34,services,married,no
,admin.,married,no
,admin.,married,no
56,admin.,married,no
52,blue-collar,married,no
39,entrepreneur,single,no
29,technician,married,no
67,retired,married,no
,admin.,single,no
41,blue-collar,married,no
,entrepreneur,divorced,no
37,management,married,no
30,admin.,single,yes
58,admin.,divorced,no
27,blue-collar,single,no
34,blue-collar,single,no
26,student,single,yes
29,services,married,no
41,technician,married,no
35,admin.,married,no
,retired,divorced,no
,technician,single,no
32,housemaid,married,no
,admin.,single,no
44,unemployed,divorced,no
26,blue-collar,married,no
,blue-collar,married,no
50,management,married,no
51,blue-collar,married,no
,admin.,married,no
29,self-employed,married,no
29,admin.,single,no
,unemployed,single,no
60,admin.,married,no
30,blue-collar,single,no
,technician,married,yes
45,blue-collar,married,no
43,self-employed,married,no
53,services,married,no
36,housemaid,married,no
,student,married,no
36,services,married,no
31,admin.,married,no
,technician,single,no
25,blue-collar,single,no
52,management,divorced,no
34,admin.,single,no
,housemaid,married,yes
30,admin.,married,no
43,entrepreneur,married,no
29,admin.,married,no
58,technician,married,no
29,housemaid,single,no
,technician,married,no
42,blue-collar,married,no
55,services,married,yes
46,blue-collar,married,yes
34,technician,single,no
,student,single,no
30,admin.,divorced,no
,unemployed,single,no
42,admin.,divorced,no
52,services,married,no
33,blue-collar,single,no
35,technician,married,no
44,admin.,single,no
45,services,single,no
41,services,married,no
,admin.,single,no
60,retired,married,no
42,technician,married,yes
53,blue-collar,married,no
48,housemaid,married,yes
,management,married,no
30,admin.,married,no
45,blue-collar,married,no
53,unknown,married,no
,technician,single,no
,admin.,married,no
59,retired,married,no
36,technician,married,no
,admin.,single,no
34,self-employed,single,no
57,management,married,no
55,services,married,no
27,admin.,single,no
38,blue-collar,married,no
,admin.,single,no
28,services,married,no
,admin.,single,no
58,technician,married,no
31,blue-collar,married,no
29,blue-collar,single,no
37,technician,single,no
35,admin.,single,no
,unemployed,single,no
65,self-employed,married,no
39,technician,single,no
29,services,divorced,no
